last_name,postnom,first_name,date_of_birth,gender,registration_number,classroom,email,notes
Ndaya,Kalonji,Jean,2011-04-16,M,MAL-IMPORT-2026-0015,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Kakudji,Gloria,2012-05-17,F,MAL-IMPORT-2026-0016,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Lwamba,Blaise,2013-06-18,M,MAL-IMPORT-2026-0017,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kalonji,Mukendi,Patricia,2014-07-19,F,MAL-IMPORT-2026-0018,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kanku,Lukusa,David,2015-08-20,M,MAL-IMPORT-2026-0019,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabongo,Kabasele,Marie,2016-09-21,F,MAL-IMPORT-2026-0020,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kalala,Nkongolo,Christian,2017-10-22,M,MAL-IMPORT-2026-0021,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Mbuyi,Aline,2018-11-23,F,MAL-IMPORT-2026-0022,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mutombo,Nkongolo,Gloire,2019-12-24,M,MAL-IMPORT-2026-0023,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mutombo,Lukusa,Chantal,2008-01-25,F,MAL-IMPORT-2026-0024,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Kazadi,David,2009-02-26,M,MAL-IMPORT-2026-0025,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mbala,Mujinga,Benedicte,2010-03-27,F,MAL-IMPORT-2026-0026,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Kanku,Samuel,2011-04-28,M,MAL-IMPORT-2026-0027,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mulumba,Kabongo,Claudia,2012-05-01,F,MAL-IMPORT-2026-0028,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mputu,Ndaya,Isaac,2013-06-02,M,MAL-IMPORT-2026-0029,"5e primaire B",,"Import test dossier eleve MALUNGA"
Lwamba,Kalonji,Francine,2014-07-03,F,MAL-IMPORT-2026-0030,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mutombo,Mputu,Cedrick,2015-08-04,M,MAL-IMPORT-2026-0031,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Ilunga,Kitenge,Naomie,2016-09-05,F,MAL-IMPORT-2026-0032,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kitenge,Lwamba,Arnaud,2017-10-06,M,MAL-IMPORT-2026-0033,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabongo,Mujinga,Patricia,2018-11-07,F,MAL-IMPORT-2026-0034,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Lwamba,Mwamba,Jean,2019-12-08,M,MAL-IMPORT-2026-0035,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Banza,Chantal,2008-01-09,F,MAL-IMPORT-2026-0036,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kazadi,Mukendi,Fabrice,2009-02-10,M,MAL-IMPORT-2026-0037,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mbala,Kalala,Grace,2010-03-11,F,MAL-IMPORT-2026-0038,"5e primaire B",,"Import test dossier eleve MALUNGA"
Lwamba,Banza,Fabrice,2011-04-12,M,MAL-IMPORT-2026-0039,"3e primaire A",,"Import test dossier eleve MALUNGA"
Tshibangu,Kazadi,Rebecca,2012-05-13,F,MAL-IMPORT-2026-0040,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kitenge,Mbayo,Fabrice,2013-06-14,M,MAL-IMPORT-2026-0041,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kitenge,Mputu,Prisca,2014-07-15,F,MAL-IMPORT-2026-0042,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Banza,Prince,2015-08-16,M,MAL-IMPORT-2026-0043,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mbuyi,Kalonji,Marie,2016-09-17,F,MAL-IMPORT-2026-0044,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Mukendi,Christian,2017-10-18,M,MAL-IMPORT-2026-0045,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Ilunga,Mbayo,Clarisse,2018-11-19,F,MAL-IMPORT-2026-0046,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Kazadi,Moise,2019-12-20,M,MAL-IMPORT-2026-0047,"5e primaire B",,"Import test dossier eleve MALUNGA"
Nkongolo,Mbayo,Naomie,2008-01-21,F,MAL-IMPORT-2026-0048,"3e primaire A",,"Import test dossier eleve MALUNGA"
Tshibangu,Mukendi,Eric,2009-02-22,M,MAL-IMPORT-2026-0049,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshibangu,Nkongolo,Rebecca,2010-03-23,F,MAL-IMPORT-2026-0050,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mbayo,Mujinga,Isaac,2011-04-24,M,MAL-IMPORT-2026-0051,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Mujinga,Prisca,2012-05-25,F,MAL-IMPORT-2026-0052,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Kakudji,Christian,2013-06-26,M,MAL-IMPORT-2026-0053,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Kanku,Clarisse,2014-07-27,F,MAL-IMPORT-2026-0054,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kambale,Kazadi,Gloire,2015-08-28,M,MAL-IMPORT-2026-0055,"5e primaire A",,"Import test dossier eleve MALUNGA"
Ndaya,Kanku,Anita,2016-09-01,F,MAL-IMPORT-2026-0056,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mushagalusa,Mujinga,Paul,2017-10-02,M,MAL-IMPORT-2026-0057,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kambale,Ilunga,Claudia,2018-11-03,F,MAL-IMPORT-2026-0058,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mbayo,Kabasele,Prince,2019-12-04,M,MAL-IMPORT-2026-0059,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kabila,Kabongo,Patricia,2008-01-05,F,MAL-IMPORT-2026-0060,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabila,Mukendi,Emmanuel,2009-02-06,M,MAL-IMPORT-2026-0061,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshibangu,Lwamba,Merveille,2010-03-07,F,MAL-IMPORT-2026-0062,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kasongo,Mukendi,Isaac,2011-04-08,M,MAL-IMPORT-2026-0063,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mutombo,Mbayo,Prisca,2012-05-09,F,MAL-IMPORT-2026-0064,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mulumba,Ilunga,Moise,2013-06-10,M,MAL-IMPORT-2026-0065,"5e primaire B",,"Import test dossier eleve MALUNGA"
Luboya,Mbayo,Esther,2014-07-11,F,MAL-IMPORT-2026-0066,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabasele,Nkongolo,Junior,2015-08-12,M,MAL-IMPORT-2026-0067,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kakudji,Kalala,Francine,2016-09-13,F,MAL-IMPORT-2026-0068,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kabongo,Ilunga,Isaac,2017-10-14,M,MAL-IMPORT-2026-0069,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Mukendi,Sarah,2018-11-15,F,MAL-IMPORT-2026-0070,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Lukusa,David,2019-12-16,M,MAL-IMPORT-2026-0071,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Banza,Ruth,2008-01-17,F,MAL-IMPORT-2026-0072,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Lwamba,Kabasele,Fabrice,2009-02-18,M,MAL-IMPORT-2026-0073,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mutombo,Kabongo,Deborah,2010-03-19,F,MAL-IMPORT-2026-0074,"5e primaire B",,"Import test dossier eleve MALUNGA"
Tshomba,Kabasele,David,2011-04-20,M,MAL-IMPORT-2026-0075,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kasongo,Ndaya,Aline,2012-05-21,F,MAL-IMPORT-2026-0076,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshibangu,Kazadi,Jacques,2013-06-22,M,MAL-IMPORT-2026-0077,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mputu,Kalala,Merveille,2014-07-23,F,MAL-IMPORT-2026-0078,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kasongo,Lwamba,Daniel,2015-08-24,M,MAL-IMPORT-2026-0079,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kalala,Chantal,2016-09-25,F,MAL-IMPORT-2026-0080,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kakudji,Paul,2017-10-26,M,MAL-IMPORT-2026-0081,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kalonji,Kabongo,Claudia,2018-11-27,F,MAL-IMPORT-2026-0082,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Ilunga,David,2019-12-28,M,MAL-IMPORT-2026-0083,"5e primaire B",,"Import test dossier eleve MALUNGA"
Lukusa,Kanku,Merveille,2008-01-01,F,MAL-IMPORT-2026-0084,"3e primaire A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kabasele,Jonathan,2009-02-02,M,MAL-IMPORT-2026-0085,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mbala,Kanku,Anita,2010-03-03,F,MAL-IMPORT-2026-0086,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mujinga,Lukusa,David,2011-04-04,M,MAL-IMPORT-2026-0087,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kalonji,Chantal,2012-05-05,F,MAL-IMPORT-2026-0088,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Ndaya,Paul,2013-06-06,M,MAL-IMPORT-2026-0089,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Banza,Patricia,2014-07-07,F,MAL-IMPORT-2026-0090,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mbala,Ilunga,Moise,2015-08-08,M,MAL-IMPORT-2026-0091,"5e primaire A",,"Import test dossier eleve MALUNGA"
Luboya,Kanku,Ruth,2016-09-09,F,MAL-IMPORT-2026-0092,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kasongo,Mwamba,David,2017-10-10,M,MAL-IMPORT-2026-0093,"3e primaire A",,"Import test dossier eleve MALUNGA"
Luboya,Lukusa,Noella,2018-11-11,F,MAL-IMPORT-2026-0094,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kasongo,Kanku,Jonathan,2019-12-12,M,MAL-IMPORT-2026-0095,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mbala,Kabongo,Francine,2008-01-13,F,MAL-IMPORT-2026-0096,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mulumba,Mwamba,Cedrick,2009-02-14,M,MAL-IMPORT-2026-0097,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Mbayo,Cynthia,2010-03-15,F,MAL-IMPORT-2026-0098,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Kalonji,Gloire,2011-04-16,M,MAL-IMPORT-2026-0099,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kasongo,Mukendi,Merveille,2012-05-17,F,MAL-IMPORT-2026-0100,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mutombo,Mukendi,Isaac,2013-06-18,M,MAL-IMPORT-2026-0101,"5e primaire B",,"Import test dossier eleve MALUNGA"
Banza,Mwamba,Claudia,2014-07-19,F,MAL-IMPORT-2026-0102,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabila,Mbayo,Patrick,2015-08-20,M,MAL-IMPORT-2026-0103,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kazadi,Mbayo,Benedicte,2016-09-21,F,MAL-IMPORT-2026-0104,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Nkongolo,Mujinga,Jonathan,2017-10-22,M,MAL-IMPORT-2026-0105,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabila,Banza,Chantal,2018-11-23,F,MAL-IMPORT-2026-0106,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mbuyi,Kabasele,Christian,2019-12-24,M,MAL-IMPORT-2026-0107,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kazadi,Kakudji,Claudia,2008-01-25,F,MAL-IMPORT-2026-0108,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Nkongolo,Kanku,Gloire,2009-02-26,M,MAL-IMPORT-2026-0109,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Kalala,Esther,2010-03-27,F,MAL-IMPORT-2026-0110,"5e primaire B",,"Import test dossier eleve MALUNGA"
Tshibangu,Kitenge,Patrick,2011-04-28,M,MAL-IMPORT-2026-0111,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mbayo,Banza,Esther,2012-05-01,F,MAL-IMPORT-2026-0112,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Luboya,Mukendi,Joel,2013-06-02,M,MAL-IMPORT-2026-0113,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kambale,Banza,Cynthia,2014-07-03,F,MAL-IMPORT-2026-0114,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mbala,Mbuyi,Michel,2015-08-04,M,MAL-IMPORT-2026-0115,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kazadi,Kalala,Deborah,2016-09-05,F,MAL-IMPORT-2026-0116,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Banza,Mbayo,Gloire,2017-10-06,M,MAL-IMPORT-2026-0117,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kabasele,Kanku,Claudia,2018-11-07,F,MAL-IMPORT-2026-0118,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabasele,Mujinga,Emmanuel,2019-12-08,M,MAL-IMPORT-2026-0119,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mujinga,Ndaya,Prisca,2008-01-09,F,MAL-IMPORT-2026-0120,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mujinga,Mputu,Joseph,2009-02-10,M,MAL-IMPORT-2026-0121,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kabasele,Kazadi,Deborah,2010-03-11,F,MAL-IMPORT-2026-0122,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Tshomba,Kakudji,Albert,2011-04-12,M,MAL-IMPORT-2026-0123,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kitenge,Mukendi,Rebecca,2012-05-13,F,MAL-IMPORT-2026-0124,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Lukusa,Blaise,2013-06-14,M,MAL-IMPORT-2026-0125,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Kalonji,Francine,2014-07-15,F,MAL-IMPORT-2026-0126,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kakudji,Kazadi,Moise,2015-08-16,M,MAL-IMPORT-2026-0127,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Ndaya,Aline,2016-09-17,F,MAL-IMPORT-2026-0128,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mukendi,Mbayo,Daniel,2017-10-18,M,MAL-IMPORT-2026-0129,"3e primaire A",,"Import test dossier eleve MALUNGA"
Lwamba,Mujinga,Patricia,2018-11-19,F,MAL-IMPORT-2026-0130,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Lwamba,Mukendi,Albert,2019-12-20,M,MAL-IMPORT-2026-0131,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kitenge,Banza,Marie,2008-01-21,F,MAL-IMPORT-2026-0132,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kambale,Kalala,Eric,2009-02-22,M,MAL-IMPORT-2026-0133,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mutombo,Lwamba,Prisca,2010-03-23,F,MAL-IMPORT-2026-0134,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Mwamba,Jacques,2011-04-24,M,MAL-IMPORT-2026-0135,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mukendi,Lwamba,Sarah,2012-05-25,F,MAL-IMPORT-2026-0136,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kitenge,Lwamba,Daniel,2013-06-26,M,MAL-IMPORT-2026-0137,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mukendi,Kalonji,Ruth,2014-07-27,F,MAL-IMPORT-2026-0138,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mbuyi,Kitenge,Jean,2015-08-28,M,MAL-IMPORT-2026-0139,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mutombo,Mbuyi,Anita,2016-09-01,F,MAL-IMPORT-2026-0140,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kitenge,Kanku,Emmanuel,2017-10-02,M,MAL-IMPORT-2026-0141,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabongo,Mwamba,Gloria,2018-11-03,F,MAL-IMPORT-2026-0142,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mputu,Ndaya,Eric,2019-12-04,M,MAL-IMPORT-2026-0143,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Kazadi,Chantal,2008-01-05,F,MAL-IMPORT-2026-0144,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mbuyi,Mputu,Christian,2009-02-06,M,MAL-IMPORT-2026-0145,"5e primaire A",,"Import test dossier eleve MALUNGA"
Ndaya,Mbayo,Ruth,2010-03-07,F,MAL-IMPORT-2026-0146,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mbayo,Kalonji,Christian,2011-04-08,M,MAL-IMPORT-2026-0147,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kasongo,Lukusa,Judith,2012-05-09,F,MAL-IMPORT-2026-0148,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kakudji,Kabasele,Samuel,2013-06-10,M,MAL-IMPORT-2026-0149,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Lwamba,Ilunga,Marie,2014-07-11,F,MAL-IMPORT-2026-0150,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kakudji,Jacques,2015-08-12,M,MAL-IMPORT-2026-0151,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kambale,Mbuyi,Clarisse,2016-09-13,F,MAL-IMPORT-2026-0152,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Kitenge,Eric,2017-10-14,M,MAL-IMPORT-2026-0153,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Lwamba,Kalonji,Esther,2018-11-15,F,MAL-IMPORT-2026-0154,"5e primaire A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kanku,Blaise,2019-12-16,M,MAL-IMPORT-2026-0155,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mbuyi,Mujinga,Naomie,2008-01-17,F,MAL-IMPORT-2026-0156,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabasele,Kitenge,Daniel,2009-02-18,M,MAL-IMPORT-2026-0157,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kambale,Lukusa,Judith,2010-03-19,F,MAL-IMPORT-2026-0158,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kanku,Kevin,2011-04-20,M,MAL-IMPORT-2026-0159,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Kalala,Anita,2012-05-21,F,MAL-IMPORT-2026-0160,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Lwamba,Paul,2013-06-22,M,MAL-IMPORT-2026-0161,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Kabasele,Divine,2014-07-23,F,MAL-IMPORT-2026-0162,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kazadi,Mbuyi,Paul,2015-08-24,M,MAL-IMPORT-2026-0163,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Nkongolo,Chantal,2016-09-25,F,MAL-IMPORT-2026-0164,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mukendi,Nkongolo,Jonathan,2017-10-26,M,MAL-IMPORT-2026-0165,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mbayo,Ndaya,Aline,2018-11-27,F,MAL-IMPORT-2026-0166,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kabongo,Mukendi,Cedrick,2019-12-28,M,MAL-IMPORT-2026-0167,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mputu,Kalonji,Anita,2008-01-01,F,MAL-IMPORT-2026-0168,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kambale,Kalala,Kevin,2009-02-02,M,MAL-IMPORT-2026-0169,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Mukendi,Gloria,2010-03-03,F,MAL-IMPORT-2026-0170,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mwamba,Mputu,Isaac,2011-04-04,M,MAL-IMPORT-2026-0171,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Nkongolo,Banza,Divine,2012-05-05,F,MAL-IMPORT-2026-0172,"5e primaire A",,"Import test dossier eleve MALUNGA"
Ilunga,Lukusa,Emmanuel,2013-06-06,M,MAL-IMPORT-2026-0173,"5e primaire B",,"Import test dossier eleve MALUNGA"
Nkongolo,Kakudji,Claudia,2014-07-07,F,MAL-IMPORT-2026-0174,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kambale,Kakudji,Jacques,2015-08-08,M,MAL-IMPORT-2026-0175,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Ndaya,Kabasele,Deborah,2016-09-09,F,MAL-IMPORT-2026-0176,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Luboya,Mbuyi,Jean,2017-10-10,M,MAL-IMPORT-2026-0177,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kalonji,Ilunga,Anita,2018-11-11,F,MAL-IMPORT-2026-0178,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mputu,Kanku,Paul,2019-12-12,M,MAL-IMPORT-2026-0179,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Kabasele,Judith,2008-01-13,F,MAL-IMPORT-2026-0180,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mputu,Kabongo,Joseph,2009-02-14,M,MAL-IMPORT-2026-0181,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabila,Banza,Judith,2010-03-15,F,MAL-IMPORT-2026-0182,"5e primaire B",,"Import test dossier eleve MALUNGA"
Tshibangu,Kalala,Eric,2011-04-16,M,MAL-IMPORT-2026-0183,"3e primaire A",,"Import test dossier eleve MALUNGA"
Ilunga,Kazadi,Gloria,2012-05-17,F,MAL-IMPORT-2026-0184,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshomba,Mwamba,Albert,2013-06-18,M,MAL-IMPORT-2026-0185,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kasongo,Mputu,Grace,2014-07-19,F,MAL-IMPORT-2026-0186,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mulumba,Kanku,Prince,2015-08-20,M,MAL-IMPORT-2026-0187,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kabila,Ndaya,Marie,2016-09-21,F,MAL-IMPORT-2026-0188,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kitenge,Kabongo,Paul,2017-10-22,M,MAL-IMPORT-2026-0189,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Ndaya,Mbayo,Joelle,2018-11-23,F,MAL-IMPORT-2026-0190,"5e primaire A",,"Import test dossier eleve MALUNGA"
Lwamba,Kalala,Isaac,2019-12-24,M,MAL-IMPORT-2026-0191,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mujinga,Ndaya,Christelle,2008-01-25,F,MAL-IMPORT-2026-0192,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabongo,Kanku,Emmanuel,2009-02-26,M,MAL-IMPORT-2026-0193,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshibangu,Kakudji,Merveille,2010-03-27,F,MAL-IMPORT-2026-0194,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kazadi,Kakudji,Arnaud,2011-04-28,M,MAL-IMPORT-2026-0195,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kitenge,Kazadi,Noella,2012-05-01,F,MAL-IMPORT-2026-0196,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kalonji,Ilunga,Paul,2013-06-02,M,MAL-IMPORT-2026-0197,"3e maternelle A",,"Import test dossier eleve MALUNGA"
